epoch,step,train_loss,val_loss
0,49,0.7422821521759033,
0,99,0.47727319598197937,
0,149,0.6432276964187622,
0,199,0.550104558467865,
0,249,0.7386445999145508,
0,299,0.5424126982688904,
0,349,0.3879096210002899,
0,399,0.5444743633270264,
0,449,0.3369421362876892,
0,499,0.33392101526260376,
0,549,0.5110157132148743,
0,599,0.3387710750102997,
0,649,0.6122404336929321,
0,699,0.40301820635795593,
0,749,0.5452847480773926,
0,787,,0.5104613304138184
1,799,0.45615556836128235,
1,849,0.48788243532180786,
1,899,0.7025838494300842,
1,949,0.717121958732605,
1,999,0.5289103984832764,
1,1049,0.602074146270752,
1,1099,0.5580815076828003,
1,1149,0.37369537353515625,
1,1199,0.5509389042854309,
1,1249,0.5269719958305359,
1,1299,0.8101819157600403,
1,1349,0.3454133868217468,
1,1399,0.42807233333587646,
1,1449,0.4750324487686157,
1,1499,0.6156162023544312,
1,1549,0.39349162578582764,
1,1575,,0.5101005434989929
2,1599,0.6791573166847229,
2,1649,0.6565006971359253,
2,1699,0.48878639936447144,
2,1749,0.6526031494140625,
2,1799,0.6594898104667664,
2,1849,0.5170368552207947,
2,1899,0.527519166469574,
2,1949,0.6574438810348511,
2,1999,0.544550895690918,
2,2049,0.6735177040100098,
2,2099,0.46292462944984436,
2,2149,0.35564935207366943,
2,2199,0.7255300283432007,
2,2249,0.724679708480835,
2,2299,0.5545316338539124,
2,2349,0.48183003067970276,
2,2363,,0.5127812623977661
3,2399,0.4437450170516968,
3,2449,0.5444284677505493,
3,2499,0.5947446823120117,
3,2549,0.5916821360588074,
3,2599,0.3401140570640564,
3,2649,0.45545142889022827,
3,2699,0.6230287551879883,
3,2749,0.33793410658836365,
3,2799,0.6667535305023193,
3,2849,0.4769413471221924,
3,2899,0.547053337097168,
3,2949,0.6140410304069519,
3,2999,0.6132310628890991,
3,3049,0.5061644911766052,
3,3099,0.3345212936401367,
3,3149,0.4030226469039917,
3,3151,,0.5170792937278748
4,3199,0.46460169553756714,
4,3249,0.34121695160865784,
4,3299,0.5300018191337585,
4,3349,0.5557252168655396,
4,3399,0.45694321393966675,
4,3449,0.763630211353302,
4,3499,0.4408717751502991,
4,3549,0.24958209693431854,
4,3599,0.42605915665626526,
4,3649,0.23170429468154907,
4,3699,0.30294081568717957,
4,3749,0.683861494064331,
